;ACCEL;;;;UPHILL unloaded ;;UPHILL loaded;;;;level LOADED;
Participant;F0 (N);V0 (m/s);;Participant;Horizontal force (N);Velocity (m/s);Horizontal force (N);Velocity (m/s);;Participant;Horizontal force (N);Velocity (m/s)
1;414,3;8,8;;1;42,5;7,1;257,3;4,0;;1;90,3;6,2
2;431,3;6,4;;1;68,7;6,8;161,6;5,3;;1;127,8;5,6
3;473,2;8,3;;1;112,2;5,7;195,0;5,2;;1;165,3;5,1
4;423,5;8,8;;1;144,5;5,5;228,7;4,3;;1;202,4;4,2
5;658,9;7,6;;1;193,8;5,1;257,5;4,1;;1;242,5;4,4
6;482,5;8,2;;2;37,5;5,0;275,4;2,8;;1;278,8;3,1
7;496,0;6,6;;2;67,6;5,2;170,5;4,0;;1;316,6;1,9
8;660,4;8,2;;2;116,4;4,3;207,3;4,2;;2;67,5;5,1
9;227,7;6,9;;2;150,7;3,8;244,3;3,3;;2;122,4;4,3
10;573,8;7,2;;2;205,3;3,6;275,6;3,0;;2;179,2;3,6
11;353,2;8,4;;3;43,9;7,2;264,9;4,3;;2;237,0;3,1
12;361,9;6,6;;3;71,1;7,0;167,1;5,7;;2;294,2;2,3
13;461,0;8,8;;3;116,4;6,0;201,8;5,7;;2;351,7;1,6
14;460,8;9,2;;3;148,8;5,8;235,9;4,7;;3;94,1;6,6
15;359,8;7,5;;3;199,5;5,3;265,4;4,4;;3;132,2;6,0
16;385,6;8,4;;4;41,5;7,0;246,6;4,6;;3;171,1;5,4
17;531,1;9,9;;4;67,5;6,8;154,8;5,5;;3;209,9;5,0
18;341,4;8,1;;4;110,5;5,9;185,9;5,3;;3;248,6;4,2
19;433,2;7,8;;4;142,2;5,7;218,5;4,7;;3;287,3;3,6
;;;;4;191,7;5,5;246,6;4,6;;3;331,0;4,8
;;;;5;48,7;7,0;288,5;3,8;;4;121,1;6,5
;;;;5;78,7;6,5;182,0;5,3;;4;172,7;5,9
;;;;5;131,2;5,7;218,0;5,1;;4;224,9;5,4
;;;;5;169,0;5,4;256,1;4,4;;4;277,3;4,6
;;;;5;227,4;5,0;289,5;4,3;;4;330,7;4,4
;;;;6;40,1;7,1;241,3;3,7;;4;383,8;4,2
;;;;6;64,1;6,8;152,0;5,3;;4;437,6;3,9
;;;;6;106,0;6,0;182,6;5,0;;5;141,6;5,9
;;;;6;136,5;5,8;214,9;4,3;;5;204,8;5,3
;;;;6;184,2;5,6;242,4;4,2;;5;267,0;4,5
;;;;7;33,3;5,8;213,7;3,2;;5;331,2;4,2
;;;;7;56,8;5,7;133,1;4,2;;5;395,7;4,0
;;;;7;95,3;4,8;160,1;4,1;;5;458,1;2,6
;;;;7;122,8;4,3;189,5;3,6;;5;522,1;2,2
;;;;7;165,9;3,9;213,9;3,3;;6;85,2;6,3
;;;;8;48,3;7,1;293,9;4,0;;6;120,8;5,9
;;;;8;79,4;7,0;184,2;5,5;;6;156,9;5,7
;;;;8;130,8;6,3;222,9;5,5;;6;192,4;5,0
;;;;8;166,1;5,7;261,9;4,6;;6;227,9;4,4
;;;;8;223,5;5,4;295,4;4,4;;6;262,7;3,4
;;;;9;24,3;5,8;151,7;3,0;;6;298,8;2,9
;;;;9;40,6;5,4;94,8;4,2;;7;49,8;5,3
;;;;9;68,1;4,7;114,0;4,1;;7;89,5;4,6
;;;;9;87,7;4,4;134,6;3,5;;7;130,1;4,2
;;;;9;118,0;3,9;152,0;3,3;;7;170,5;3,5
;;;;10;38,9;6,6;241,6;3,8;;7;211,8;3,2
;;;;10;64,1;6,3;150,5;5,0;;7;252,7;2,7
;;;;10;106,1;5,6;182,2;5,0;;7;294,3;2,5
;;;;10;135,9;5,2;213,6;3,8;;8;104,4;6,7
;;;;10;182,1;4,6;241,7;3,9;;8;146,4;6,1
;;;;11;40,9;6,9;245,7;3,7;;8;187,8;5,4
;;;;11;66,7;6,8;155,0;5,4;;8;231,9;5,1
;;;;11;107,7;5,7;187,2;5,4;;8;273,8;4,3
;;;;11;137,2;5,2;219,0;4,4;;8;316,4;3,6
;;;;11;185,4;5,0;246,6;4,1;;8;360,5;3,1
;;;;12;29,1;5,2;203,9;3,3;;9;45,0;5,1
;;;;12;53,0;5,6;126,2;4,0;;9;64,1;4,8
;;;;12;89,5;4,7;152,9;4,2;;9;92,1;3,8
;;;;12;116,5;4,8;180,3;3,4;;9;120,5;3,2
;;;;12;157,3;4,5;204,2;3,5;;9;150,1;2,7
;;;;13;44,1;6,7;276,4;4,0;;9;178,5;1,2
;;;;13;71,8;6,3;174,9;5,5;;10;82,6;5,6
;;;;13;119,5;5,4;210,4;5,4;;10;117,4;4,9
;;;;13;153,2;5,0;246,1;4,4;;10;152,8;4,5
;;;;13;206,7;4,8;277,0;4,1;;10;188,2;4,0
;;;;14;45,1;7,7;240,8;4,6;;10;224,3;3,7
;;;;14;70,7;7,4;154,1;6,2;;10;260,2;3,4
;;;;14;113,4;6,5;183,2;5,8;;10;295,9;2,8
;;;;14;145,1;6,4;215,1;5,3;;11;86,6;6,2
;;;;14;192,2;5,7;242,0;4,9;;11;122,6;5,6
;;;;15;34,8;6,2;219,6;3,6;;11;158,6;5,1
;;;;15;57,8;5,9;136,4;4,5;;11;194,5;4,5
;;;;15;97,3;5,0;165,0;4,6;;11;252,6;3,6
;;;;15;126,0;4,9;194,6;3,8;;11;267,3;3,3
;;;;15;170,2;4,5;220,0;3,8;;11;304,3;2,9
;;;;16;36,6;6,7;222,3;4,2;;12;97,1;5,2
;;;;16;60,6;6,6;140,4;5,2;;12;141,3;4,5
;;;;16;98,0;5,3;168,5;5,1;;12;185,3;4,1
;;;;16;127,1;5,4;197,1;4,4;;12;229,8;3,5
;;;;16;170,3;4,9;222,6;4,4;;12;274,0;2,9
;;;;17;47,9;8,3;257,3;4,9;;12;319,3;2,8
;;;;17;73,2;7,9;164,6;6,6;;12;363,6;2,3
;;;;17;116,1;7,1;197,1;6,3;;13;74,0;7,0
;;;;17;147,4;6,8;229,9;5,4;;13;130,3;6,4
;;;;17;196,1;6,3;258,7;5,4;;13;185,6;5,6
;;;;18;35,8;7,1;211,5;3,7;;13;241,2;4,7
;;;;18;56,2;6,4;132,9;5,0;;13;298,6;4,1
;;;;18;91,8;5,4;159,9;4,7;;13;355,0;3,3
;;;;18;118,3;5,2;187,8;3,9;;13;412,6;2,9
;;;;18;159,5;4,9;212,4;3,9;;14;121,6;6,9
;;;;19;38,9;6,8;222,0;3,8;;14;172,4;6,3
;;;;19;61,7;6,2;139,5;5,1;;14;223,0;5,6
;;;;19;101,0;5,1;166,8;4,7;;14;274,5;4,7
;;;;19;130,8;5,0;196,4;4,0;;14;327,3;4,5
;;;;19;176,3;4,7;222,2;3,9;;14;379,1;4,0
;;;;;;;;;;14;431,3;3,3
;;;;;;;;;;15;106,0;5,8
;;;;;;;;;;15;151,3;4,7
;;;;;;;;;;15;198,8;4,4
;;;;;;;;;;15;245,8;3,7
;;;;;;;;;;15;293,4;3,5
;;;;;;;;;;15;340,3;2,8
;;;;;;;;;;15;388,0;2,3
;;;;;;;;;;16;109,8;6,1
;;;;;;;;;;16;158,0;5,6
;;;;;;;;;;16;204,9;4,9
;;;;;;;;;;16;253,4;4,4
;;;;;;;;;;16;301,7;3,8
;;;;;;;;;;16;350,1;3,2
;;;;;;;;;;16;399,1;2,8
;;;;;;;;;;17;95,2;7,7
;;;;;;;;;;17;133,3;7,4
;;;;;;;;;;17;168,9;6,6
;;;;;;;;;;17;205,4;5,8
;;;;;;;;;;17;243,2;5,5
;;;;;;;;;;17;280,3;4,8
;;;;;;;;;;17;318,1;4,4
;;;;;;;;;;18;74,5;6,1
;;;;;;;;;;18;105,8;5,7
;;;;;;;;;;18;137,4;5,3
;;;;;;;;;;18;167,5;4,4
;;;;;;;;;;18;199,1;4,0
;;;;;;;;;;18;230,3;3,3
;;;;;;;;;;18;261,4;2,5
;;;;;;;;;;19;108,4;5,8
;;;;;;;;;;19;155,4;5,1
;;;;;;;;;;19;203,6;4,5
;;;;;;;;;;19;251,3;3,8
;;;;;;;;;;19;300,4;3,6
;;;;;;;;;;19;348,0;2,8
;;;;;;;;;;19;397,9;2,9
